English cue,English taxonomic match,English thematic match,Mandarin cue,Mandarin taxonomic match,Mandarin thematic match,Vietnamese cue,Vietnamese taxonomic match,Vietnamese thematic match
teacup,glass,kettle,茶杯,玻璃杯,水壶,cốc trà,ly,ấm đun nước
airplane1,ship,pilot,飞机,轮船,飞行员,máy bay,tàu thuỷ,phi công
sailor,pilot,ship,水手,飞行员,轮船,thuỷ thủ,phi công ,tàu thuỷ
airplane2,helicopter,sky,飞机,直升机,天空,máy bay,trực thăng ,trời
seagull,bat,sky,海鸥,蝙蝠,天空,hải âu,dơi,trời
apple1,strawberry,tree,苹果,草莓,树,táo,dâu,cây
apple2,orange,basket,苹果,橙子,篮子,táo,cam,giỏ
axe,scissors,stump,斧子,剪刀,树桩,rìu,kéo,gốc cây
baby,adult,bottle,宝宝,成人,奶瓶,em bé,người lớn,bình
monkey,donkey,jungle,猴,驴,丛林,khỉ,lừa,rừng
bed,couch,pillow,床,长沙发,枕头,giường,ghế bành,gối
crib,bed,baby,婴儿床,床,宝宝,nôi,giường,em bé
bee1,ladybug,garden,蜜蜂,瓢虫,花园,ong,bọ rùa,vườn
bee2,butterfly,honey,蜜蜂,蝴蝶,蜂蜜,ong,bướm,mật
beer,juice,party,啤酒,果汁,派对,bia,nước ép,tiệc
chicken,swan,egg,鸡,天鹅,蛋,gà,thiên nga,trứng
pigeon,duck,nest,鸽子,鸭,鸟巢,bồ câu,vịt,tổ
cake,cookie,birthday,蛋糕,曲奇,生日,bánh kem,bánh quy,sinh nhật
ball,dice,child,球,骰子,儿童,bóng,xúc xắc,đứa trẻ
boot,slipper,foot ,靴子,拖鞋,脚,ủng,dép,bàn chân
legs,arms,pants,腿,手臂,裤子,chân,tay,quần
bowl,plate,soup,碗,盘子,汤,chén,đĩa,súp
bread,rice,oven,面包,米饭,烤箱,bánh mì,cơm,lò nướng
spoon2,fork,sugar,勺,叉子,汤,muỗng,nĩa,đường
hair,beard,comb,头发,胡子,梳子,tóc,râu,lược
