"triad","cue_E","word1_E","word2_E","cue_M","word1_M","word2_M","cue_V","word1_V","word2_V","word1_assoc_strength_E","word2_assoc_strength_E"
"lemon","lemon","grape","pear","柠檬","葡萄","梨","chanh","nho","lê",0.00675675675675676,NA
"library","library","bank","cinema","图书馆","银行","电影院","thư viện","ngân hàng","rạp chiếu phim",NA,NA
"kite","kite","basketball","swing","风筝","篮球","秋千","diều","bóng rổ","xích đu",NA,NA
"bridge","bridge","tunnel","highway","桥","隧道","公路","cầu","đường hầm","đường cao tốc",NA,0.0034965034965035
"infant","infant","man","woman","婴儿","男人","女人","trẻ sơ sinh","đàn ông","phụ nữ",NA,NA
"coriander","coriander","salt","pepper","香菜","盐","胡椒","rau mùi ","muối","tiêu",NA,NA
"grandfather","grandfather","sister","uncle","祖父","姐妹","叔叔","ông","chị","cậu",NA,NA
"candle","candle","torch","lantern","蜡烛","火炬","灯笼","nến","đuốc","đèn lồng",0.00344827586206897,NA
"fox","fox","tiger","lion","狐狸","老虎","狮子","cáo","hổ","sư tử",NA,NA
"branch","branch","root","stem","树枝","根","茎","cành cây","rễ cây","thân cây",NA,0.00341296928327645
"parrot","parrot","hawk","songbird","鹦鹉","鹰","夜莺","vẹt","diều hâu","sơn ca",NA,NA
"sprout","sprout","seedling","plant","新芽","小树苗","植物","chồi cây","cây con","cây",NA,0.06164384
"nose","nose","thumb","finger","鼻","大拇指","手指","mũi","ngón cái","ngón tay",NA,NA
"cucumber","cucumber","corn","potato","黄瓜","玉米","土豆","dưa leo","ngô","khoai tây",NA,NA
"scarf","scarf","socks","beanie","围巾","袜子","毛线帽","khăn quàng cổ","tất","mũ len",NA,NA
"shovel","shovel","rake","hoe","铲子","耙子","锄头","cái xẻng","cái cào","cái cuốc",0.01027397,0.01369863
"vinegar","vinegar","oil","butter","醋","油","黄油","giấm","dầu","bơ",0.07958478,NA
"comics","comics","magazine","newspaper","漫画","杂志","报纸","truyện tranh","tạp chí","báo",0.00706713780918728,0.0318021201413428
"button","button","sleeve","collar","纽扣","袖子","衣领","nút áo","tay áo","cổ áo",0.00350877192982456,0.00350877192982456
"mattress","mattress","sheet","blanket","床垫","床单","毯子","nệm","ga giường","chăn",0.0100671140939597,0.00671140939597315
"tea","tea","soda","lemonade","茶","苏打水","柠檬水","trà","nước ngọt","nước chanh",NA,NA
"wolf","wolf","bear","leopard","狼","熊","豹","sói","gấu","báo",0.01360544,0.003401361
"bird","bird","lizard","toad","鸟","蜥蜴","蟾蜍","chim","thằn lằn","cóc",NA,NA
"drawer","drawer","shelf","cabinet","抽屉","架子","储藏柜","ngăn kéo","kệ","tủ",0.0173010380622837,0.027681660899654
"neck","neck","chin","shoulders","脖子","下巴","肩膀","cổ","cằm","vai",0.0101351351351351,0.0135135135135135
"floor","floor","rug","tile","地","小地毯","瓷砖","sàn nhà","thảm","gạch",0.0169491525423729,0.0474576271186441
"leech","leech","flea","louse","水蛭","跳蚤","虱子","con đỉa","bọ chét","con rận",NA,NA
"balloon","balloon","marbles","doll","气球","弹珠","玩具娃娃","bong bóng","viên bi","búp bê",NA,NA
"singer","singer","writer","poet","歌手","作家","诗人","ca sĩ","nhà văn","nhà thơ",0.003521127,0.003521127
"robot","robot","phone","computer","机器人","电话","电脑","người máy","điện thoại","máy vi tính",NA,0.02105263
"tongue","tongue","teeth","lips","舌头","牙齿","嘴唇","lưỡi","răng","môi",0.03472222,0.03472222
"garlic","garlic","ginger","cilantro","大蒜","生姜","香叶","tỏi","gừng","ngò",0.00342465753424658,NA
"watermelon","watermelon","papaya","grapefruit","西瓜","木瓜","西柚","dưa hấu","đu đủ","bưởi",NA,NA
"heart","heart","stomach","lungs","心脏","胃","肺","tim","dạ dày","phổi",NA,0.00335570469798658
"coral","coral","shark","dolphin","珊瑚","鲨鱼","海豚","san hô","cá mập","cá heo",NA,NA
"worm ","worm","ant","cockroach","蠕虫","蚂蚁","蟑螂","giun","kiến","gián",NA,NA
"coast","coast","harbor","pier","海岸","港湾","码头","bờ biển","hải cảng","cầu tàu",NA,NA
"mushroom","mushroom","pumpkin","eggplant","蘑菇","南瓜","茄子","nấm","bí đỏ","cà tím",NA,NA
"museum","museum","playground","park","博物馆","操场","公园","bảo tàng","sân chơi","công viên",NA,NA
