triad,cue_M,cue_frequency_M,word1_M,word1_frequency_M,word2_M,word2_frequency_M,word1_match_M,word1_match_frequency_M,word2_match_M,word2_match_frequency_M,cue_E,cue_frequency_E,word1_E,word1_frequency_E,word2_E,word2_frequency_E,word1_match_E,word1_match_frequency_E,word2_match_E,word2_match_frequency_E,cue_V,cue_frequency_V,word1_V,word1_frequency_V,word2_V,word2_frequency_V,word1_match_V,word1_match_frequency_V,word2_match_V,word2_match_frequency_V
lemon,柠檬,,葡萄,,梨,,柠檬 - 葡萄,,柠檬 - 梨,,lemon,19153,grape,10062,pear,4968,lemon - grape,40,lemon - pear,36,chanh,,nho,,lê,,chanh - nho,5,chanh - lê,0
library,图书馆,,银行,,电影院,,图书馆 - 银行,,图书馆 - 电影院,,library,71921,bank,138673,cinema,8617,library - bank,67,library - cinema,11,thư viện,,ngân hàng,,rạp chiếu phim,,thư viện - ngân hàng,0,thư viện - rạp chiếu phim,0
kite,风筝,,篮球,,秋千,,风筝 - 篮球,,风筝 - 秋千,,kite,3274,basketball,40007,swing,27981,kite - basketball,0,kite - swing,5,diều,,bóng rổ,,xích đu,,diều - bóng rổ,0,diều - xích đu,0
bridge,桥,,隧道,,公路,,桥 - 隧道,,桥 - 公路,,bridge,49030,tunnel,19814,highway,34789,bridge - tunnel,231,bridge - highway,338,cầu,,đường hầm,,đường cao tốc,,cầu - đường hầm,5,cầu - đường cao tốc,0
infant,婴儿,,男人,,女人,,婴儿 - 男人,,婴儿 - 女人,,infant,20410,man,1091176,woman,759817,infant - man,103,infant - woman,185,trẻ sơ sinh,,đàn ông,,phụ nữ,,trẻ sơ sinh - đàn ông,0,trẻ sơ sinh - phụ nữ,0
coriander,香菜,,盐,,胡椒,,香菜 - 盐,,香菜 - 胡椒,,coriander,1009,salt,46825,pepper,34195,coriander - salt,217,coriander - pepper,187,rau mùi ,,muối,,tiêu,,rau mùi  - muối,0,rau mùi  - tiêu,3
grandfather,祖父,,姐妹,,叔叔,,祖父 - 姐妹,,祖父 - 叔叔,,grandfather,22432,sister,120346,uncle,46291,grandfather - sister,78,grandfather - uncle,254,ông,,chị,,cậu,,ông - chị,0,ông - cậu,3
candle,蜡烛,,火炬,,灯笼,,蜡烛 - 火炬,,蜡烛 - 灯笼,,candle,15125,torch,6336,lantern,4659,candle - torch,15,candle - lantern,47,nến,,đuốc,,đèn lồng,,nến - đuốc,0,nến - đèn lồng,0
fox,狐狸,,老虎,,狮子,,狐狸 - 老虎,,狐狸 - 狮子,,fox,10254,tiger,26334,lion,23871,fox - tiger,22,fox - lion,53,cáo,,hổ,,sư tử,,cáo - hổ,0,cáo - sư tử,0
branch,树枝,,根,,茎,,树枝 - 根,,树枝 - 茎,,branch,40300,root,45327,stem,18061,branch - root,121,branch - stem,45,cành cây,,rễ cây,,thân cây,,cành cây - rễ cây,0,cành cây - thân cây,0
parrot,鹦鹉,,鹰,,夜莺,,鹦鹉 - 鹰,,鹦鹉 - 夜莺,,parrot,3307,hawk,9428,songbird,930,parrot - hawk,2,parrot - songbird,0,vẹt,,diều hâu,,sơn ca,,vẹt - diều hâu,0,vẹt - sơn ca,0
sprout,新芽,,小树苗,,植物,,新芽 - 小树苗,,新芽 - 植物,,sprout,4062,seedling,2683,plant,118323,sprout - seedling,2,sprout - plant,37,chồi cây,,cây con,,cây,,chồi cây - cây con,0,chồi cây - cây,0
nose,鼻,,大拇指,,手指,,鼻 - 大拇指,,鼻 - 手指,,nose,45433,thumb,16776,finger,81817,nose - thumb,203,nose - finger,354,mũi,,ngón cái,,ngón tay,,mũi - ngón cái,0,mũi - ngón tay,12
cucumber,黄瓜,,玉米,,土豆,,黄瓜 - 玉米,,黄瓜 - 土豆,,cucumber,4252,corn,26609,potato,29496,cucumber - corn,27,cucumber - potato,24,dưa leo,,ngô,,khoai tây,,dưa leo - ngô,0,dưa leo - khoai tây,4
scarf,围巾,,袜子,,毛线帽,,围巾 - 袜子,,围巾 - 毛线帽,,scarf,7566,socks,14170,beanie,434,scarf - socks,25,scarf - beanie,5,khăn quàng cổ,,tất,,mũ len,,khăn quàng cổ - tất,0,khăn quàng cổ - mũ len,0
shovel,铲子,,耙子,,锄头,,铲子 - 耙子,,铲子 - 锄头,,shovel,5572,rake,3704,hoe,1279,shovel - rake,61,shovel - hoe,27,cái xẻng,,cái cào,,cái cuốc,,cái xẻng - cái cào,0,cái xẻng - cái cuốc,0
vinegar,醋,,油,,黄油,,醋 - 油,,醋 - 黄油,,vinegar,9110,oil,150410,butter,29372,vinegar - oil,1826,vinegar - butter,132,giấm,,dầu,,bơ,,giấm - dầu,7,giấm - bơ,0
comics,漫画,,杂志,,报纸,,漫画 - 杂志,,漫画 - 报纸,,comics,13245,magazine,75615,newspaper,66598,comics - magazine,51,comics - newspaper,85,truyện tranh,,tạp chí,,báo,,truyện tranh - tạp chí,0,truyện tranh - báo,0
button,纽扣,,袖子,,衣领,,纽扣 - 袖子,,纽扣 - 衣领,,button,36451,sleeve,12091,collar,11916,button - sleeve,26,button - collar,65,nút áo,,tay áo,,cổ áo,,nút áo - tay áo,0,nút áo - cổ áo,0
mattress,床垫,,床单,,毯子,,床垫 - 床单,,床垫 - 毯子,,mattress,7696,sheet,42366,blanket,19318,mattress - sheet,84,mattress - blanket,70,nệm,,ga giường,,chăn,,nệm - ga giường,0,nệm - chăn,10
tea,茶,,苏打水,,柠檬水,,茶 - 苏打水,,茶 - 柠檬水,,tea,47503,soda,12515,lemonade,3263,tea - soda,127,tea - lemonade,108,trà,,nước ngọt,,nước chanh,,trà - nước ngọt,4,trà - nước chanh,3
wolf,狼,,熊,,豹,,狼 - 熊,,狼 - 豹,,wolf,29042,bear,45125,leopard,2389,wolf - bear,192,wolf - leopard,17,sói,,gấu,,báo,,sói - gấu,0,sói - báo,0
bird,鸟,,蜥蜴,,蟾蜍,,鸟 - 蜥蜴,,鸟 - 蟾蜍,,bird,69662,lizard,4467,toad,2283,bird - lizard,19,bird - toad,4,chim,,thằn lằn,,cóc,,chim - thằn lằn,0,chim - cóc,0
drawer,抽屉,,架子,,储藏柜,,抽屉 - 架子,,抽屉 - 储藏柜,,drawer,12435,shelf,21854,cabinet,22078,drawer - shelf,34,drawer - cabinet,190,ngăn kéo,,kệ,,tủ,,ngăn kéo - kệ,3,ngăn kéo - tủ,16
neck,脖子,,下巴,,肩膀,,脖子 - 下巴,,脖子 - 肩膀,,neck,52214,chin,14538,shoulders,78062,neck - chin,319,neck - shoulders,983,cổ,,cằm,,vai,,cổ - cằm,9,cổ - vai,67
floor,地,,小地毯,,瓷砖,,地 - 小地毯,,地 - 瓷砖,,floor,122291,rug,9361,tile,10297,floor - rug,305,floor - tile,797,sàn nhà,,thảm,,gạch,,sàn nhà - thảm,15,sàn nhà - gạch,7
leech,水蛭,,跳蚤,,虱子,,水蛭 - 跳蚤,,水蛭 - 虱子,,leech,1508,flea,3721,louse,1706,leech - flea,2,leech - louse,1,con đỉa,,bọ chét,,con rận,,con đỉa - bọ chét,0,con đỉa - con rận,0
balloon,气球,,弹珠,,玩具娃娃,,气球 - 弹珠,,气球 - 玩具娃娃,,balloon,12102,marbles,9297,doll,16714,balloon - marbles,0,balloon - doll,3,bong bóng,,viên bi,,búp bê,,bong bóng - viên bi,0,bong bóng - búp bê,0
singer,歌手,,作家,,诗人,,歌手 - 作家,,歌手 - 诗人,,singer,24095,writer,96279,poet,20918,singer - writer,101,singer - poet,46,ca sĩ,,nhà văn,,nhà thơ,,ca sĩ - nhà văn,0,ca sĩ - nhà thơ,0
robot,机器人,,电话,,电脑,,机器人 - 电话,,机器人 - 电脑,,robot,20517,phone,194941,computer,139082,robot - phone,32,robot - computer,92,người máy,,điện thoại,,máy vi tính,,người máy - điện thoại,0,người máy - máy vi tính,0
tongue,舌头,,牙齿,,嘴唇,,舌头 - 牙齿,,舌头 - 嘴唇,,tongue,25612,teeth,46405,lips,48507,tongue - teeth,659,tongue - lips,893,lưỡi,,răng,,môi,,lưỡi - răng,11,lưỡi - môi,29
garlic,大蒜,,生姜,,香叶,,大蒜 - 生姜,,大蒜 - 香叶,,garlic,18473,ginger,5005,cilantro,3417,garlic - ginger,957,garlic - cilantro,258,tỏi,,gừng,,ngò,,tỏi - gừng,35,tỏi - ngò,0
watermelon,西瓜,,木瓜,,西柚,,西瓜 - 木瓜,,西瓜 - 西柚,,watermelon,2676,papaya,930,grapefruit,2010,watermelon - papaya,15,watermelon - grapefruit,16,dưa hấu,,đu đủ,,bưởi,,dưa hấu - đu đủ,6,dưa hấu - bưởi,7
heart,心脏,,胃,,肺,,心脏 - 胃,,心脏 - 肺,,heart,216345,stomach,29089,lungs,22170,heart - stomach,418,heart - lungs,975,tim,,dạ dày,,phổi,,tim - dạ dày,14,tim - phổi,89
coral,珊瑚,,鲨鱼,,海豚,,珊瑚 - 鲨鱼,,珊瑚 - 海豚,,coral,7272,shark,15207,dolphin,9675,coral - shark,11,coral - dolphin,1,san hô,,cá mập,,cá heo,,san hô - cá mập,0,san hô - cá heo,0
worm ,蠕虫,,蚂蚁,,蟑螂,,蠕虫 - 蚂蚁,,蠕虫 - 蟑螂,,worm,10575,ant,9137,cockroach,2373,worm - ant,11,worm - cockroach,3,giun,,kiến,,gián,,giun - kiến,0,giun - gián,0
coast,海岸,,港湾,,码头,,海岸 - 港湾,,海岸 - 码头,,coast,53114,harbor,16291,pier,7851,coast - harbor,172,coast - pier,29,bờ biển,,hải cảng,,cầu tàu,,bờ biển - hải cảng,0,bờ biển - cầu tàu,0
mushroom,蘑菇,,南瓜,,茄子,,蘑菇 - 南瓜,,蘑菇 - 茄子,,mushroom,11459,pumpkin,10608,eggplant,2406,mushroom - pumpkin,7,mushroom - eggplant,13,nấm,,bí đỏ,,cà tím,,nấm - bí đỏ,0,nấm - cà tím,0
museum,博物馆,,操场,,公园,,博物馆 - 操场,,博物馆 - 公园,,museum,73559,playground,8054,park,135440,museum - playground,18,museum - park,778,bảo tàng,,sân chơi,,công viên,,bảo tàng - sân chơi,0,bảo tàng - công viên,8
waterfall,瀑布,,洞穴,,裂谷,,瀑布 - 洞穴,,瀑布 - 裂谷,,waterfall,4158,cave,18219,chasm,1710,waterfall - cave,26,waterfall - chasm,0,thác nước,,hang động,,vực sâu,,thác nước - hang động,4,thác nước - vực sâu,0
